"family","source","rank_in_source","model_name","status","r2","mse","rmse","feature_count","code_lines","generated_notebook","generated_notebook_exists","executed_notebook","executed_notebook_exists","log_file","source_csv"
"huggingface","archived_platforms","65","Qwen_Qwen2_5_Coder_32B_Instruct","OK","-0.010685","0.796385","0.892404","80","37","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\huggingface\generated_notebooks\Qwen_Qwen2_5_Coder_32B_Instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"huggingface","archived_platforms","68","meta_llama_Llama_3_3_70B_Instruct","OK","-0.013717","0.798775","0.893742","80","20","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\huggingface\generated_notebooks\meta_llama_Llama_3_3_70B_Instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","1","mistralai_mistral-7b-instruct-v0.3","OK","0.002356","0.78611","0.886628","80","15","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\mistralai_mistral-7b-instruct-v0.3.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_mistralai_mistral-7b-instruct-v0.3.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","2","yentinglin_llama-3-taiwan-70b-instruct","OK","0.001704","0.786624","0.886918","80","22","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\yentinglin_llama-3-taiwan-70b-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","4","nvidia_nemotron-4-mini-hindi-4b-instruct","OK","0.000821","0.787319","0.88731","80","38","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\nvidia_nemotron-4-mini-hindi-4b-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","5","moonshotai_kimi-k2-instruct","OK","-0.001673","0.789284","0.888417","80","36","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\moonshotai_kimi-k2-instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","6","institute-of-science-tokyo_llama-3.1-swallow-8b-instruct-v0.1","OK","-0.003065","0.790381","0.889034","80","20","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\institute-of-science-tokyo_llama-3.1-swallow-8b-instruct-v0.1.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_institute-of-science-tokyo_llama-3.1-swallow-8b-instruct-v0.1.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","10","moonshotai_kimi-k2-instruct-0905","OK","-0.005705","0.792461","0.890203","80","35","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\moonshotai_kimi-k2-instruct-0905.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","11","igenius_italia_10b_instruct_16k","OK","-0.007594","0.79395","0.891039","80","11","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\igenius_italia_10b_instruct_16k.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_igenius_italia_10b_instruct_16k.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","12","meta_llama3-8b-instruct","OK","-0.007594","0.79395","0.891039","80","8","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\meta_llama3-8b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_meta_llama3-8b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
