rank,model,status,mse,rmse,r2,feature_count,code_lines,has_feature_engineering,has_xgboost,has_polars,error
49,tiiuae/falcon3-7b-instruct,OK,0.796385,0.892404,-0.010685,80,33,True,True,True,
50,upstage/solar-10.7b-instruct,OK,0.796385,0.892404,-0.010685,80,16,True,True,True,
51,nvidia/llama-3.3-nemotron-super-49b-v1,OK,0.797974,0.893294,-0.012701,80,45,True,True,True,
52,meta/llama-3.1-8b-instruct,OK,0.798775,0.893742,-0.013717,80,51,True,True,True,
53,meta/llama-3.2-1b-instruct,OK,0.805049,0.897245,-0.02168,80,26,True,True,True,
54,microsoft/phi-3-small-8k-instruct,OK,0.805049,0.897245,-0.02168,80,22,True,True,False,
55,mistralai/mistral-nemotron,OK,0.80612,0.897842,-0.023039,80,79,True,True,True,
56,tokyotech-llm/llama-3-swallow-70b-instruct-v0.1,OK,0.80612,0.897842,-0.023039,80,17,True,True,True,
57,utter-project/eurollm-9b-instruct,OK,0.80612,0.897842,-0.023039,80,32,True,True,True,
58,meta/llama-3.2-3b-instruct,OK,0.817354,0.904077,-0.037297,80,31,True,True,True,
-,bytedance/seed-oss-36b-instruct,EMPTY_NOTEBOOK,,,,0,0,False,False,False,Empty notebook
-,nvidia/llama-3.1-nemotron-ultra-253b-v1,EMPTY_NOTEBOOK,,,,0,0,False,False,False,Empty notebook
-,nvidia/nemotron-3-nano-30b-a3b,EMPTY_NOTEBOOK,,,,0,0,False,False,False,Empty notebook
-,nvidia/nemotron-3-super-120b-a12b,EMPTY_NOTEBOOK,,,,0,0,False,False,False,Empty notebook
-,nvidia/nvidia-nemotron-nano-9b-v2,EMPTY_NOTEBOOK,,,,0,0,False,False,False,Empty notebook
