Model Name,Publisher,Type,Primary Use Case,Downloads,Description
mistral-large-3-675b-instruct-2512,Mistral AI,Free Endpoint,language generation,6.55M,"A state-of-the-art general purpose MoE VLM ideal for chat, agentic and instruction based use cases."
mistral-medium-3-instruct,Mistral AI,Free Endpoint,language generation,5.33M,"Powerful, multimodal language model designed for enterprise applications."
mistral-nemo-minitron-8b-base,NVIDIA,Free Endpoint,language generation,3.86K,State-of-the-art small language model delivering superior accuracy for chatbot.
mistral-nemotron,Mistral AI,Free Endpoint,language generation,801K,"Built for agentic workflows, this model excels in coding, instruction following, and function calling."
mistral-small-24b-instruct,Mistral AI,Downloadable,code,614K,"Latency-optimized language model excelling in code, math, general knowledge."
mistral-small-3.1-24b-instruct-2503,Mistral AI,Free Endpoint,language generation,2.17M,"Efficient multimodal model excelling at multilingual tasks, image understanding."
mistral-small-4-119b-2603,Mistral AI,Downloadable,code generation,938,"Hybrid MoE model unifying instruct, reasoning, and coding with multimodal input and 256k context."
mixtral-8x22b-instruct-v0.1,Mistral AI,Downloadable,Advanced Reasoning,4.98M,"An MOE LLM that follows instructions, completes requests, and generates creative text."
mixtral-8x7b-instruct-v0.1,Mistral AI,Downloadable,Advanced Reasoning,718K,"An MOE LLM that follows instructions, completes requests, and generates creative text."
molmim,NVIDIA,Downloadable,Chemistry,13.55K,MolMIM performs controlled generation finding molecules with the right properties.
msa-search,Colabfold,Downloadable,nim,888,Generates a multiple sequence alignment from a query sequence and a protein sequence database search.
nemoguard-jailbreak-detect,NVIDIA,Downloadable,nemo guardrails,28.43K,Industry leading jailbreak classification model for protection from adversarial attempts.
nemoretriever-graphic-elements-v1,NVIDIA,Downloadable,Object Detection,14.2K,"Model for object detection, fine-tuned to detect charts, tables, and titles in documents."
nemoretriever-ocr,NVIDIA,Downloadable,Table Extraction,97.51K,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
