Model Name,Publisher,Type,Primary Use Case,Downloads,Description
phi-4-mini-instruct,Microsoft,Downloadable,Chat,2.82M,Lightweight multilingual LLM powering AI applications in latency bound memory/compute constrained environments.
phi-4-multimodal-instruct,Microsoft,Free Endpoint,Speech Recognition,514K,Cutting-edge open multimodal model exceling in high-quality reasoning from image and audio inputs.
proteinmpnn,IPD,Downloadable,biology,8.83K,ProteinMPNN is a deep learning model for predicting amino acid sequences for protein backbones.
qwen2-7b-instruct,Qwen,Free Endpoint,Chinese Language Generation,732K,"Chinese and English LLM targeting language, coding, mathematics, reasoning, etc."
qwen2.5-7b-instruct,Qwen,Downloadable,Chinese Language Generation,2.31M,"Chinese and English LLM targeting language, coding, mathematics, reasoning, etc."
qwen2.5-coder-32b-instruct,Qwen,Downloadable,code completion,6.09M,"Advanced LLM for code generation, reasoning, and fixing across popular programming languages."
qwen2.5-coder-7b-instruct,Qwen,Free Endpoint,code completion,581K,"Powerful mid-size code model with a 32K context length, excelling in coding in multiple languages."
qwen3-coder-480b-a35b-instruct,Qwen,Free Endpoint,agentic coding,3.62M,Excels in agentic coding and browser use and supports 256K context.
qwen3-next-80b-a3b-instruct,Qwen,Downloadable,text-generation,12.65M,"Qwen3-Next Instruct blends hybrid attention, sparse MoE, and stability boosts for ultra-long context AI."
qwen3-next-80b-a3b-thinking,Qwen,Downloadable,Reasoning,4.43M,"80B parameter AI model with hybrid reasoning, MoE architecture, support for 119 languages."
qwen3.5-122b-a10b,Qwen,Free Endpoint,tool calling,1.73M,122B MoE LLM (10B active) for coding, reasoning, multimodal chat. Agent-ready.
qwen3.5-397b-a17b,Qwen,Downloadable,MoE,9.18M,"Next-gen Qwen 3.5 VLM (400B MoE) brings advanced vision, chat, RAG, and agentic capabilities."
qwq-32b,Qwen,Free Endpoint,coding,4.36M,Powerful reasoning model capable of thinking and reasoning.
rakutenai-7b-chat,Rakuten,Free Endpoint,Chat,536K,"Advanced state-of-the-art LLM with language understanding, superior reasoning, and text generation."
rakutenai-7b-instruct,Rakuten,Free Endpoint,Chat,540K,"Advanced state-of-the-art LLM with language understanding, superior reasoning, and text generation."
rerank-qa-mistral-4b,NVIDIA,Free Endpoint,Ranking,172K,GPU-accelerated model optimized for providing a probability score for question-answering.
retail-object-detection,NVIDIA,Free Endpoint,Object Detection,352,EfficientDet-based object detection network to detect 100 specific retail objects from an input video.
rfdiffusion,IPD,Downloadable,biology,9.41K,A generative model of protein backbones for protein binder design.
riva-translate-1.6b,NVIDIA,Downloadable,Neural machine translation,26.21K,Enable smooth global interactions in 36 languages.
riva-translate-4b-instruct-v1_1,NVIDIA,Free Endpoint,nvidia nim,568K,Translation model in 12 languages with few-shots example prompts capability.
sarvam-m,Sarvamai,Downloadable,coding,548K,"Multilingual, hybrid-reasoning model optimized for Indian language tasks."
sea-lion-7b-instruct,AI Singapore,Free Endpoint,Chat,,LLM to represent and serve the linguistic and cultural diversity of Southeast Asia.
seed-oss-36b-instruct,ByteDance,Free Endpoint,thinking budget,3.81M,"ByteDance open-source LLM with long-context, reasoning, and agentic intelligence."
shieldgemma-9b,Google,Free Endpoint,Guardrail,589K,Guardrail model to ensure that responses from LLMs are appropriate and safe.
solar-10.7b-instruct,Upstage,Free Endpoint,Non-Commercial Use Only,552K,"Excels in NLP tasks, particularly in instruction-following, reasoning, and mathematics."
sparsedrive,NVIDIA,Free Endpoint,autonomous vehicles,95,"End-to-end autonomous driving stack integrating perception, prediction, and planning."
stable-diffusion-3-medium,Stability AI,Free Endpoint,Text-to-Image,33.17K,Advanced text-to-image model for generating high quality images.
stable-diffusion-3.5-large,Stability AI,Downloadable,Text-to-Image,,Stable Diffusion 3.5 is a popular text-to-image generation model.
starcoder2-7b,BigCode,Downloadable,code completion,12.07K,"Advanced programming model for code completion, summarization, and generation."
step-3.5-flash,Stepfun-ai,Free Endpoint,Agentic,7.89M,200B open-source reasoning engine with sparse MoE powering frontier agentic AI.
stockmark-2-100b-instruct,Stockmark,Downloadable,sovereign ai,4.56M,Japanese-specialized large-language-model for enterprises to read and understand complex business documents.
streampetr,NVIDIA,Free Endpoint,autonomous vehicles,300K,StreamPETR offers efficient 3D object detection for autonomous driving.
studiovoice,NVIDIA,Downloadable,Nvidia Maxine,599,Enhance speech by correcting common audio degradations.
teuken-7b-instruct-commercial-v0.4,Opengpt-x,Downloadable,sovereign ai,533K,"Multilingual 7B LLM, instruction-tuned on all 24 EU languages for stable, culturally aligned output."
TRELLIS,Microsoft,Downloadable,text-to-3d,4.75K,MSFT TRELLIS is a 3D AI model that generates high-quality 3D assets from text or image inputs.
usdcode,NVIDIA,Free Endpoint,Digital Twin,333K,State-of-the-art LLM that answers OpenUSD knowledge queries and generates USD-Python code.
