rank,platform,model,status,mse,rmse,r2,feature_count,code_lines,has_feature_engineering,has_xgboost,has_polars,source_notebook,error
33,nvidia,microsoft_phi-3-mini-128k-instruct,OK,0.796385,0.892404,-0.010685,80,51,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-mini-128k-instruct.ipynb,
34,nvidia,microsoft_phi-3-mini-4k-instruct,OK,0.796385,0.892404,-0.010685,80,43,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-mini-4k-instruct.ipynb,
35,nvidia,microsoft_phi-3-small-128k-instruct,OK,0.796385,0.892404,-0.010685,80,32,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-small-128k-instruct.ipynb,
36,nvidia,microsoft_phi-3.5-mini-instruct,OK,0.796385,0.892404,-0.010685,80,35,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3.5-mini-instruct.ipynb,
37,nvidia,microsoft_phi-4-multimodal-instruct,OK,0.796385,0.892404,-0.010685,80,35,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-4-multimodal-instruct.ipynb,
38,nvidia,mistralai_ministral-14b-instruct-2512,OK,0.796385,0.892404,-0.010685,80,76,True,True,True,platforms\nvidia\generated_notebooks\mistralai_ministral-14b-instruct-2512.ipynb,
39,nvidia,mistralai_mistral-7b-instruct-v0.2,OK,0.796385,0.892404,-0.010685,80,28,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-7b-instruct-v0.2.ipynb,
40,nvidia,mistralai_mistral-medium-3-instruct,OK,0.796385,0.892404,-0.010685,80,36,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-medium-3-instruct.ipynb,
41,nvidia,mistralai_mistral-small-24b-instruct,OK,0.796385,0.892404,-0.010685,80,35,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-small-24b-instruct.ipynb,
42,nvidia,mistralai_mistral-small-3.1-24b-instruct-2503,OK,0.796385,0.892404,-0.010685,80,34,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-small-3.1-24b-instruct-2503.ipynb,
43,nvidia,mistralai_mixtral-8x22b-instruct-v0.1,OK,0.796385,0.892404,-0.010685,80,25,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mixtral-8x22b-instruct-v0.1.ipynb,
44,nvidia,mistralai_mixtral-8x7b-instruct-v0.1,OK,0.796385,0.892404,-0.010685,80,45,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mixtral-8x7b-instruct-v0.1.ipynb,
45,nvidia,nvidia_llama-3.1-nemotron-nano-8b-v1,OK,0.796385,0.892404,-0.010685,80,38,True,True,True,platforms\nvidia\generated_notebooks\nvidia_llama-3.1-nemotron-nano-8b-v1.ipynb,
46,nvidia,nvidia_llama-3.1-nemotron-nano-vl-8b-v1,OK,0.796385,0.892404,-0.010685,80,39,True,True,True,platforms\nvidia\generated_notebooks\nvidia_llama-3.1-nemotron-nano-vl-8b-v1.ipynb,
47,nvidia,nvidia_llama-3.3-nemotron-super-49b-v1.5,OK,0.796385,0.892404,-0.010685,80,12,True,True,True,platforms\nvidia\generated_notebooks\nvidia_llama-3.3-nemotron-super-49b-v1.5.ipynb,
48,nvidia,nvidia_llama3-chatqa-1.5-8b,OK,0.796385,0.892404,-0.010685,80,17,True,True,True,platforms\nvidia\generated_notebooks\nvidia_llama3-chatqa-1.5-8b.ipynb,
49,nvidia,nvidia_nemotron-mini-4b-instruct,OK,0.796385,0.892404,-0.010685,80,14,True,True,True,platforms\nvidia\generated_notebooks\nvidia_nemotron-mini-4b-instruct.ipynb,
